pop 2074 delaunay sigma_def F=29 k=11 | base th=0 | k9c th=0.799065 eps=0.799065 (k9c/x0+B) | natour not_run th=0 | natcol not_run th=0 [0.187 s]
pop 2078 quad_random sigma_mc F=90 k=23 | base th=0 | k9c th=1.91756 eps=1.91756 (k9c/x0+B) | natour not_run th=0 | natcol not_run th=0 [1.427 s]
pop 2078 quad_random sigma_def F=90 k=67 | base th=0 | k9c th=1.04142 eps=1.04142 (k9c/x0) | natour not_run th=0 | natcol not_run th=0 [1.176 s]
pop 2082 voronoi sigma_mc F=49 k=39 | base th=0 | k9c th=0.615921 eps=0.615921 (k9) | natour not_run th=0 | natcol not_run th=0 [0.606 s]
pop 2082 voronoi sigma_def F=49 k=73 | base th=0 | k9c th=1.31921 eps=1.31921 (k9c/x0) | natour not_run th=0 | natcol not_run th=0 [1.793 s]
pop 2086 delaunay sigma_mc F=79 k=13 | base th=0 | k9c th=1.99474 eps=1.99474 (k9c/x0+B) | natour not_run th=0 | natcol not_run th=0 [0.93 s]
pop 2086 delaunay sigma_def F=79 k=36 | base th=0 | k9c th=2.6385 eps=2.6385 (k9c/k9+B) | natour not_run th=0 | natcol not_run th=0 [1.015 s]
pop 2090 quad_random sigma_mc F=41 k=10 | base th=0 | k9c th=2.6119 eps=2.6119 (k9c/x0+B) | natour not_run th=0 | natcol not_run th=0 [0.718 s]
pop 2090 quad_random sigma_def F=41 k=28 | base th=0 | k9c th=1.16974 eps=1.16974 (k9) | natour not_run th=0 | natcol not_run th=0 [0.381 s]
pop 2094 voronoi sigma_mc F=84 k=68 | base th=0 | k9c th=0 eps=0 (k9) | natour not_run th=0 | natcol not_run th=0 [0.532 s]
pop 2094 voronoi sigma_def F=84 k=132 | base th=0 | k9c th=0.00570737 eps=0.00570737 (k9c/x0) | natour not_run th=0 | natcol not_run th=0 [2.698 s]
pop 2098 delaunay sigma_mc F=65 k=10 | base th=0 | k9c th=0.735442 eps=0.735442 (k9c/x0+B) | natour not_run th=0 | natcol not_run th=0 [0.438 s]
pop 2098 delaunay sigma_def F=65 k=30 | base th=0 | k9c th=0.921387 eps=0.921387 (k9c/k9b+B) | natour not_run th=0 | natcol not_run th=0 [0.486 s]
pop shard 2 done in 45.502 s -> results/regime/shard_2.csv
