pop 2073 voronoi sigma_def F=49 k=73 | base th=0 | k9c th=0.864643 eps=0.864643 (k9c/x0) | natour not_run th=0 | natcol not_run th=0 [1.667 s]
pop 2077 delaunay sigma_mc F=30 k=5 | base th=0 | k9c th=2.89447 eps=2.89447 (k9c/x0+B) | natour not_run th=0 | natcol not_run th=0 [0.365 s]
pop 2077 delaunay sigma_def F=30 k=12 | base th=0 | k9c th=1.02818 eps=1.02818 (k9c/x0+B) | natour not_run th=0 | natcol not_run th=0 [0.218 s]
pop 2081 quad_random sigma_mc F=98 k=31 | base th=0 | k9c th=0.047696 eps=0.047696 (k9c/x0) | natour not_run th=0 | natcol not_run th=0 [0.22 s]
pop 2081 quad_random sigma_def F=98 k=76 | base th=0 | k9c th=0.331132 eps=0.331132 (k9b) | natour not_run th=0 | natcol not_run th=0 [1.126 s]
pop 2085 voronoi sigma_mc F=24 k=18 | base th=0 | k9c th=0.446194 eps=0.446194 (k9) | natour not_run th=0 | natcol not_run th=0 [0.218 s]
pop 2085 voronoi sigma_def F=24 k=35 | base th=0 | k9c th=2.14805 eps=2.14805 (k9c/x0) | natour not_run th=0 | natcol not_run th=0 [0.704 s]
pop 2089 delaunay sigma_mc F=32 k=4 | base th=0 | k9c th=3.11542 eps=3.11542 (k9c/k9+B) | natour not_run th=0 | natcol not_run th=0 [0.46 s]
pop 2089 delaunay sigma_def F=32 k=14 | base th=0 | k9c th=0.090344 eps=0.090344 (k9c/x0) | natour not_run th=0 | natcol not_run th=0 [0.147 s]
pop 2093 quad_random sigma_mc F=88 k=24 | base th=0 | k9c th=0.688342 eps=0.688342 (k9c/k9+B) | natour not_run th=0 | natcol not_run th=0 [0.914 s]
pop 2093 quad_random sigma_def F=88 k=66 | base th=0 | k9c th=0.365283 eps=0.365283 (k9c/x0) | natour not_run th=0 | natcol not_run th=0 [0.934 s]
pop 2097 voronoi sigma_mc F=82 k=68 | base th=0 | k9c th=0.51924 eps=0.51924 (k9) | natour not_run th=0 | natcol not_run th=0 [1.14 s]
pop 2097 voronoi sigma_def F=82 k=132 | base th=0 | k9c th=0.22084 eps=0.22084 (k9c/x0) | natour not_run th=0 | natcol not_run th=0 [3.432 s]
pop shard 1 done in 35.912 s -> results/regime/shard_1.csv
