pop 2072 quad_random sigma_def F=87 k=62 | base th=0 | k9c th=0.316094 eps=0.316094 (k9c/x0) | natour not_run th=0 | natcol not_run th=0 [0.774 s]
pop 2076 voronoi sigma_mc F=65 k=53 | base th=0 | k9c th=0.138855 eps=0.138855 (k9c/x0) | natour not_run th=0 | natcol not_run th=0 [0.545 s]
pop 2076 voronoi sigma_def F=65 k=99 | base th=0 | k9c th=1.45955 eps=1.45955 (k9c/x0+B) | natour not_run th=0 | natcol not_run th=0 [2.748 s]
pop 2080 delaunay sigma_mc F=30 k=5 | base th=0 | k9c th=3.14159 eps=3.14159 (k9c/x0+B) | natour not_run th=0 | natcol not_run th=0 [0.291 s]
pop 2080 delaunay sigma_def F=30 k=9 | base th=0 | k9c th=3.07252 eps=3.07252 (k9c/k9b+B) | natour not_run th=0 | natcol not_run th=0 [0.34 s]
pop 2084 quad_random sigma_mc F=93 k=27 | base th=0 | k9c th=1.95734 eps=1.95734 (k9c/x0+B) | natour not_run th=0 | natcol not_run th=0 [1.555 s]
pop 2084 quad_random sigma_def F=93 k=71 | base th=0 | k9c th=0.201335 eps=0.201335 (k9c/x0) | natour not_run th=0 | natcol not_run th=0 [0.906 s]
pop 2088 voronoi sigma_mc F=90 k=76 | base th=0 | k9c th=0.103875 eps=0.103875 (k9c/x0) | natour not_run th=0 | natcol not_run th=0 [0.788 s]
pop 2088 voronoi sigma_def F=90 k=143 | base th=0 | k9c th=0.237075 eps=0.237075 (k9c/x0) | natour not_run th=0 | natcol not_run th=0 [3.764 s]
pop 2092 delaunay sigma_mc F=77 k=12 | base th=0 | k9c th=2.43266 eps=2.43266 (k9c/x0+B) | natour not_run th=0 | natcol not_run th=0 [0.933 s]
pop 2092 delaunay sigma_def F=77 k=34 | base th=0 | k9c th=0.491418 eps=0.491418 (k9c/k9+B) | natour not_run th=0 | natcol not_run th=0 [0.516 s]
pop 2096 quad_random sigma_mc F=98 k=29 | base th=0 | k9c th=0.668195 eps=0.668195 (k9c/x0) | natour not_run th=0 | natcol not_run th=0 [0.576 s]
pop 2096 quad_random sigma_def F=98 k=75 | base th=0 | k9c th=0.159586 eps=0.159586 (k9c/x0) | natour not_run th=0 | natcol not_run th=0 [1.145 s]
pop shard 0 done in 45.786 s -> results/regime/shard_0.csv
